Date : 2020-05-15 18:13:54
Directory : c:\Users\K-PC\GoogleDrive\GitHub\win-vind
Total : 225 files,  33060 codes, 1497 comments, 7088 blanks, all 41645 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
+-------------+------------+------------+------------+------------+------------+
| C++         |        103 |      8,628 |        593 |      2,001 |     11,222 |
| HTML        |          1 |      8,332 |          0 |      1,631 |      9,963 |
| JSON        |         12 |      4,517 |          0 |         10 |      4,527 |
| Makefile    |          6 |      2,923 |        730 |      1,477 |      5,130 |
| Log         |          5 |      2,700 |          0 |        773 |      3,473 |
| CMake       |         78 |      2,349 |          0 |        365 |      2,714 |
| CMake Cache |          3 |      1,710 |          0 |        413 |      2,123 |
| C           |          6 |      1,590 |        156 |        339 |      2,085 |
| Batch       |          4 |         98 |          0 |         21 |        119 |
| Markdown    |          1 |         79 |          0 |         18 |         97 |
| XML         |          1 |         75 |          1 |         21 |         97 |
| Python      |          2 |         32 |          0 |          7 |         39 |
| Ini         |          3 |         27 |         17 |         12 |         56 |
+-------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                      | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                         |        225 |     33,060 |      1,497 |      7,088 |     41,645 |
| build                                                                                                                     |         51 |      9,258 |        363 |      1,274 |     10,895 |
| build\.cmake                                                                                                              |         11 |      4,320 |          0 |         10 |      4,330 |
| build\.cmake\api                                                                                                          |         11 |      4,320 |          0 |         10 |      4,330 |
| build\.cmake\api\v1                                                                                                       |         11 |      4,320 |          0 |         10 |      4,330 |
| build\.cmake\api\v1\query                                                                                                 |          1 |          1 |          0 |          0 |          1 |
| build\.cmake\api\v1\query\client-vscode                                                                                   |          1 |          1 |          0 |          0 |          1 |
| build\.cmake\api\v1\reply                                                                                                 |         10 |      4,319 |          0 |         10 |      4,329 |
| build\CMakeFiles                                                                                                          |         13 |      2,575 |        106 |        540 |      3,221 |
| build\CMakeFiles\3.14.4                                                                                                   |          6 |      1,114 |        106 |        257 |      1,477 |
| build\CMakeFiles\3.14.4\CompilerIdC                                                                                       |          1 |        499 |         52 |        109 |        660 |
| build\CMakeFiles\3.14.4\CompilerIdCXX                                                                                     |          1 |        478 |         54 |        107 |        639 |
| build\CMakeFiles\win-vind.dir                                                                                             |          2 |         51 |          0 |          7 |         58 |
| build\src                                                                                                                 |         21 |      1,115 |        170 |        449 |      1,734 |
| build\src\system                                                                                                          |         21 |      1,115 |        170 |        449 |      1,734 |
| build\src\system\CMakeFiles                                                                                               |         19 |        298 |          0 |         47 |        345 |
| build\src\system\CMakeFiles\Binders.dir                                                                                   |          3 |         42 |          0 |          7 |         49 |
| build\src\system\CMakeFiles\Common.dir                                                                                    |          3 |         62 |          0 |          7 |         69 |
| build\src\system\CMakeFiles\CoreSystem.dir                                                                                |          3 |         41 |          0 |          7 |         48 |
| build\src\system\CMakeFiles\EditorKeybinds.dir                                                                            |          3 |         39 |          0 |          7 |         46 |
